2021,ACM TOCL,"Reasoning about Petri Nets: A Calculus Based on Resolution and Dynamic Logic.",Bruno Lopes 0001; Cláudia Nalon; Edward Hermann Haeusler,https://doi.org/10.1145/3441655,top,J,no_arxiv,0
2019,ACM TOCL,"Modal Resolution: Proofs, Layers, and Refinements.",Cláudia Nalon; Clare Dixon; Ullrich Hustadt,https://doi.org/10.1145/3331448,top,J,no_arxiv,0
