2019,BigData,"Understanding Spatio-Temporal Urban Processes.",Lais M. A. Rocha; Aline Bessa; Fernando Chirigati; Eugene OFriel; Mirella M. Moro; Juliana Freire,https://doi.org/10.1109/BigData47090.2019.9006289,null,C,no_arxiv,0
2020,Data & Knowl. Eng.,"An analysis of the collaboration network of the International Conference on Conceptual Modeling at the Age of 40.",Lucas Henrique C. Lima; Alberto H. F. Laender; Mirella M. Moro; José Palazzo M. de Oliveira,https://doi.org/10.1016/j.datak.2020.101866,null,J,no_arxiv,0
2024,WebSci,"What makes a viral song? Unraveling music virality factors.",Gabriel P. Oliveira; Ana Paula Couto da Silva; Mirella M. Moro,https://doi.org/10.1145/3614419.3644011,null,C,no_arxiv,0
2023,SQJ,"How do developers collaborate? Investigating GitHub heterogeneous networks.",Gabriel P. Oliveira; Ana Flávia C. Moura; Natércia A. Batista; Michele A. Brandão; André C. Hora; Mirella M. Moro,https://doi.org/10.1007/s11219-022-09598-x,null,J,no_arxiv,0
