2022,MSCS,"Indexed and fibered structures for partial and total correctness assertions.",Uwe Wolter; Alfio Ricardo de Brito Martini; Edward Hermann Haeusler,https://doi.org/10.1017/S0960129522000275,null,J,no_arxiv,0
2021,ACM TOCL,"Reasoning about Petri Nets: A Calculus Based on Resolution and Dynamic Logic.",Bruno Lopes 0001; Cláudia Nalon; Edward Hermann Haeusler,https://doi.org/10.1145/3441655,top,J,no_arxiv,0
2018,Theor. Comput. Sci.,"Towards reasoning about Petri nets: A Propositional Dynamic Logic based approach.",Mario R. F. Benevides; Bruno Lopes 0001; Edward Hermann Haeusler,https://doi.org/10.1016/j.tcs.2018.01.007,null,J,no_arxiv,0
