2021,CHI,"Personalization Improves Gamification: Evidence from a Mixed-methods Study.",Luiz A. L. Rodrigues; Paula T. Palomino; Armando M. Toda; Ana C. T. Klock; Wilk Oliveira; Anderson P. Avila-Santos; Isabela Gasparini; Seiji Isotani,https://doi.org/10.1145/3474714,top,C,no_arxiv,0
2020,Int. J. HC Studies,"Tailored gamification: A review of literature.",Ana Carolina Tomé Klock; Isabela Gasparini; Marcelo Soares Pimenta; Juho Hamari,https://doi.org/10.1016/j.ijhcs.2020.102495,null,J,no_arxiv,0
2019,Interact. Comput.,"User-Centered Gamification for E-Learning Systems: A Quantitative and Qualitative Analysis of its Application.",Ana Carolina Tomé Klock; Isabela Gasparini; Marcelo Soares Pimenta,https://doi.org/10.1093/iwc/iwz028,null,J,no_arxiv,0
