2016,INFORMS J Compt,"A Branch-and-Bound Algorithm for the Close-Enough Traveling Salesman Problem.",Walton Pereira Coutinho; Roberto Quirino do Nascimento; Artur Alves Pessoa; Anand Subramanian,https://doi.org/10.1287/ijoc.2016.0711,top,J,no_arxiv,9
2014,Discrete Applied Math.,"A continuous strategy to solve a class of mixed optimization problems.",Roberto Quirino do Nascimento; Edson Figueiredo Lima Jr.; Rubia Mara de Oliveira Santos,https://doi.org/10.1016/j.dam.2011.12.008,null,J,no_arxiv,0
2014,Discrete Applied Math.,"The discrete ellipsoid covering problem: A discrete geometric programming approach.",Roberto Quirino do Nascimento; Ana Flávia Uzeda dos Santos Macambira; Lucídio dos Anjos Formiga Cabral; Renan Vicente Pinto,https://doi.org/10.1016/j.dam.2012.10.016,null,J,no_arxiv,0
