ACM Trans. Softw. Eng. Methodol.,35,43,22,16,12,10
Empirical Software Engineering,32,58,52,68,84,62
Journal of Systems and Software,181,146,168,214,200,128
Information & Software Technology,123,88,151,116,102,109
Software Quality Journal,22,25,24,33,38,25
Journal of Software: Evolution and Process,55,53,43,43,0,0
Softw., Pract. Exper.,67,66,70,70,88,58
Autom. Softw. Eng.,16,16,16,20,24,9
IEEE Trans. Software Eng.,92,63,62,60,57,26
Software and System Modeling,39,59,62,47,47,38
Sci. Comput. Program.,118,206,152,79,64,70
Journal of Object Technology,9,9,8,9,10,0
