2017,PAM,"A Characterization of Load Balancing on the IPv6 Internet.",Rafael Almeida; Osvaldo L. H. M. Fonseca; Elverton C. Fazzion; Dorgival O. Guedes; Wagner Meira Jr.; Ítalo S. Cunha,https://doi.org/10.1007/978-3-319-54328-4_18,null
2016,NOMS,"An architecture integrating stationary and mobile roadside units for providing communication on intelligent transportation systems.",Cristiano M. Silva; Wagner Meira Jr.,https://doi.org/10.1109/NOMS.2016.7502832,null
2014,NOMS,"Design of roadside infrastructure for information dissemination in vehicular networks.",Cristiano M. Silva; André L. L. de Aquino; Wagner Meira Jr.,https://doi.org/10.1109/NOMS.2014.6838263,null
