2017,RecSys,"Metalearning for Context-aware Filtering: Selection of Tensor Factorization Algorithms.",Tiago Cunha 0001; Carlos Soares; André C. P. L. F. Carvalho,http://doi.acm.org/10.1145/3109859.3109899,null
2016,ECML/PKDD,"Selecting Collaborative Filtering Algorithms Using Metalearning.",Tiago Cunha 0001; Carlos Soares; André C. P. L. F. de Carvalho,https://doi.org/10.1007/978-3-319-46227-1_25,null
2013,ECML/PKDD,"Probabilistic Clustering for Hierarchical Multi-Label Classification of Protein Functions.",Rodrigo C. Barros; Ricardo Cerri; Alex Alves Freitas; André Carlos Ponce de Leon Ferreira de Carvalho,https://doi.org/10.1007/978-3-642-40991-2_25,null
