2018,ICPC,"How do design decisions affect the distribution of software metrics?",Marcos Dósea; Cláudio Sant'Anna; Bruno Carreiro da Silva,http://doi.acm.org/10.1145/3196321.3196337,null,C
2016,IST,"The effect of automatic concern mapping strategies on conceptual cohesion measurement.",Bruno Carreiro da Silva; Cláudio Sant'Anna; Neylor Rocha; Christina Chavez,https://doi.org/10.1016/j.infsof.2016.03.006,null,J
2014,JSS,"Blending design patterns with aspects: A quantitative study.",Nélio Cacho; Cláudio Sant'Anna; Eduardo Figueiredo; Francisco Dantas; Alessandro F. Garcia; Thaís Vasconcelos Batista,https://doi.org/10.1016/j.jss.2014.08.041,null,J
2013,SPE,"Mastering crosscutting architectural decisions with aspects.",Cláudio Sant'Anna; Alessandro Garcia; Thaís Vasconcelos Batista; Awais Rashid,https://doi.org/10.1002/spe.2113,null,J
