1,2017,EICS,"HistoryViewer: Instrumenting a Visual Analytics Application to Support Revisiting a Session of Interactive Data Analysis.",PUC-Rio,Vinícius C. V. B. Segura; Simone D. J. Barbosa,http://doi.acm.org/10.1145/3095813,null
2,2015,INTERACT,"How Does HCI Research Affect Education Programs? A Study in the Brazilian Context.",UDESC; PUC-RS; UTFPR; PUC-Rio,Isabela Gasparini; Simone Diniz Junqueira Barbosa; Milene Selbach Silveira; Silvia Amélia Bim; Clodis Boscarioli,https://doi.org/10.1007/978-3-319-22668-2_46,null
3,2013,INTERACT,"Cross-Communicability: Evaluating the Meta-communication of Cross-Platform Applications.",PUC-Rio,Rodrigo de A. Maues; Simone Diniz Junqueira Barbosa,https://doi.org/10.1007/978-3-642-40477-1_15,null
