2017,MASCOTS,"Cost-Benefit Tradeoffs of Content Sharing in Personal Cloud Storage.",Glauber D. Gonçalves; Alex Borges Vieira; Idilio Drago; Ana Paula Couto da Silva; Jussara M. Almeida,https://doi.org/10.1109/MASCOTS.2017.32,null
2015,Networking,"Impact of provider failures on the traffic at a university campus.",Rodrigo Duarte; Alex Borges Vieira; Ítalo S. Cunha; Jussara M. Almeida,https://doi.org/10.1109/IFIPNetworking.2015.7145327,null
