2017,GPCE,"Avoiding useless mutants.",ICMC/USP; UFAL; UFCG,Leonardo Fernandes; Márcio Ribeiro; Luiz Carvalho; Rohit Gheyi; Melina Mongiovi; André Santos; Ana Cavalcanti; Fabiano Cutigi Ferrari; José Carlos Maldonado,http://doi.acm.org/10.1145/3136040.3136053,null
2016,GPCE,"A change-centric approach to compile configurable systems with #ifdefs.",UFPE; UFAL; UFCG,Larissa Braz; Rohit Gheyi; Melina Mongiovi; Márcio Ribeiro; Flávio Medeiros; Leopoldo Teixeira,http://doi.acm.org/10.1145/2993236.2993250,null
2015,ECOOP,"The Love/Hate Relationship with the C Preprocessor: An Interview Study.",UFAL; UFCG,Flávio Medeiros; Christian Kästner; Márcio Ribeiro; Sarah Nadi; Rohit Gheyi,https://doi.org/10.4230/LIPIcs.ECOOP.2015.495,null
2015,GPCE,"An empirical study on configuration-related issues: investigating undeclared and unused identifiers.",UFPE; UFAL; UFCG,Flávio Medeiros; Iran Rodrigues; Márcio Ribeiro; Leopoldo Teixeira; Rohit Gheyi,http://doi.acm.org/10.1145/2814204.2814206,null
2013,GPCE,"Investigating preprocessor-based syntax errors.",UFAL; UFCG,Flávio Medeiros; Márcio Ribeiro; Rohit Gheyi,http://doi.acm.org/10.1145/2517208.2517221,null
