2016,CCGrid,"Automatic Communication Optimization of Parallel Applications in Public Clouds.",Emmanuell D. Carreño; Matthias Diener; Eduardo H. M. Cruz; Philippe O. A. Navaux,https://doi.org/10.1109/CCGrid.2016.59,null
2016,CCGrid,"enerGyPU and enerGyPhi Monitor for Power Consumption and Performance Evaluation on Nvidia Tesla GPU and Intel Xeon Phi.",John A. Garcia H.; Esteban Hernandez B.; Carlos E. Montenegro; Philippe O. A. Navaux; Carlos Jaime Barrios Hernández,https://doi.org/10.1109/CCGrid.2016.100,null
2014,DSN,"Impact of GPUs Parallelism Management on Safety-Critical and HPC Applications Reliability.",Paolo Rech; Laércio Lima Pilla; Philippe Olivier Alexandre Navaux; Luigi Carro,https://doi.org/10.1109/DSN.2014.49,null
