1,2016,MASS,"FlushMF: A Transport Protocol Using Multiple Frequencies for Wireless Sensor Network.",UFMG,Rodrigo C. Tavares; Marcos Augusto M. Vieira; Luiz Filipe M. Vieira,https://doi.org/10.1109/MASS.2016.033,null
2,2016,MSWiM,"A Novel Centrality Metric for Topology Control in Underwater Sensor Networks.",UFMG,Rodolfo W. L. Coutinho; Azzedine F. M. Boukerche; Luiz Filipe M. Vieira; Antonio Alfredo Ferreira Loureiro,http://doi.acm.org/10.1145/2988287.2989162,null
3,2016,MSWiM,"Matrix: Multihop Address Allocation and Dynamic Any-to-Any Routing for 6LoWPAN.",UFMG,Bruna Soares Peres; Otavio Augusto de Oliveira Souza; Bruno Pereira Santos; Edson Roteia Araujo Junior; Olga Goussevskaia; Marcos Augusto Menezes Vieira; Luiz Filipe Menezes Vieira; Antonio Alfredo Ferreira Loureiro,http://doi.acm.org/10.1145/2988287.2989139,null
4,2015,MSWiM,"Modeling and Analysis of Opportunistic Routing in Low Duty-Cycle Underwater Sensor Networks.",UFMG,Rodolfo W. L. Coutinho; Azzedine Boukerche; Luiz Filipe M. Vieira; Antonio A. F. Loureiro,http://doi.acm.org/10.1145/2811587.2811608,null
5,2014,MSWiM,"Transmission power control-based opportunistic routing for wireless sensor networks.",UFMG,Rodolfo W. L. Coutinho; Azzedine Boukerche; Luiz Filipe M. Vieira; Antonio Alfredo Ferreira Loureiro,http://doi.acm.org/10.1145/2641798.2641813,null
6,2013,MSWiM,"Movement assisted-topology control and geographic routing protocol for underwater sensor networks.",UFMG,Rodolfo W. L. Coutinho; Luiz Filipe M. Vieira; Antonio A. F. Loureiro,http://doi.acm.org/10.1145/2507924.2507956,null
